Asana,Sanskrit,English,Type,Effect on spine,"Suitable for
Paschimottanasana[105],पश्चिमोत्तानासन,Seated Forward Bend,Sitting,Forward Bend,,"15th C. HYP 1:28[20]
17th C. GhS 2:26[20]","Full Forward Bend, Caterpillar", ,,
Rajakapotasana[109],राजकपोतासन,King Pigeon,Sitting,Backbend,,20th C. LoY[110],"Swan, Sleeping Swan", ,,
Samakonasana[114],समकोणासन,Side splits,Sitting,,,20th C. TK[70],, ,,
"Siddhasana (men),
Siddha Yoni Asana (women)[119]",सिद्धासन,"Accomplished,
The Adept's Pose",Sitting,,Meditation[119],10th C. GS 1.10-12,, ,,
Simhasana[120],सिंहासन,Lion,Sitting,,Meditation[120],"04th C. DU[100]
10th C. V[63]",, ,,
"Sukhasana[125]
Yogasana (this or similar poses)",सुखासन,Auspicious (Easy),Sitting,,Meditation[126],04th C. DU[127],Easy, ,,
Svastikasana[134],स्वस्तिकसन,"Auspicious
Lucky mark",Sitting,,Meditation[134],08th C. PSV[52],Square, ,,
Upavishta Konasana[143],उपविष्टकोणासन,Open Angle,Sitting,,,20th C. TK[70],Dragonfly, ,,
Malasana[89],मालासन,Garland,Squatting,Forward bend,,20th C. LoY[89],, ,,
Pashasana[104],पाशासन,Noose,Squatting,Twist,,19th C. ST[46],, ,,
Adho Mukha Shvanasana[14],अधोमुखश्वानासन,Downward-Facing Dog,Standing,Forward bend,,"20th C. TK[15]
18th C. HAP (in dynamic pose ""Gajāsana"")[16]",, ,,
Anjaneyasana[23],अञ्जनेयासन,Crescent Moon[24],Standing,Backbend,,20th C.[25],Dragon, ,,
Ardha Chandrasana[26],अर्धचन्द्रासन,Half moon,Standing,,,20th C. LoY[27],, ,,
Natarajasana[95],नटराजासन,"Lord of the Dance
Nataraja's Pose",Standing,Backbend,,20th C. TK[96],, ,,
Parighasana[101],परिघासन,Gate,Standing,,,20th C. TK[50],,,,
Parshvakonasana[102],पार्श्वकोणासन,Side angle,Standing,,,20th C. TK[50][70],, ,,
Parshvottanasana[103],पार्श्वोत्तनासन,Intense side stretch,Standing,,,20th C. TK[50][70],, ,,
Prasarita Padottanasana[108],प्रसारित पादोत्तानासन,Wide Stance Forward Bend,Standing,Forward bend,,20th C. TK[50][70],, ,,
Surya Namaskar[131][132],सुर्य नमस्कार,"Sun Salutation
(sequence of 12 asanas)",Standing,"Forward bend,
backbend",,"20th C. Rajah of Aundh,[133] then TK[15]",, ,,
Tadasana[135],ताडासन,Mountain,Standing,,,20th C. TK[50],, ,,
"Trikonasana,
Utthita Trikonasana[137]","त्रिकोणासन,
उत्थित त्रिकोणासन",Triangle,Standing,,,20th C. TK[138],, ,,
Utkatasana[149],उत्कटासन,Awkward or Powerful,Standing,,,"15th C. HYP (squatting)[150]
17th C. GhS[45]

20th C. TK[151] (chair-like)",, ,,
Uttanasana[152],उत्तानासन,Standing Forward Bend,Standing,Forward bend,,20th C. TB (as Padahastasana)[153], TK[50][70],, ,
Utthita Hastapadangusthasana[154],उत्थित हस्तपादाङ्गुष्ठासन,"Standing Big Toe Hold
(I: leg to the side;
II: leg to the front[154])",Standing,,,20th C. TK[50][70],, ,,
Utthita Parsvakonasana[155],उत्थितपार्श्वकोणासन,Extended Side Angle,Standing,,,20th C. TK[50][70],, ,,
Viparita Virabhadrasana[162],विपरीतवीरभद्रासन,Reversed Warrior[j],Standing,,,21st C. PL[162],, ,,
Virabhadrasana I[163],वीरभद्रासन,Warrior I,Standing,,,20th C. TK[164][165],, ,,
Virabhadrasana II[166],वीरभद्रासन II,Warrior II,Standing,,,20th C. TK[164][165],, ,,
Virabhadrasana III[167],वीरभद्रासन III,Warrior III,Standing,,,20th C. TK[164][165],, ,,
Durvasasana[54],,Durvasa's Pose,"Standing, Balancing",,,19th C. ST (as 'Trivikramasana')[55],, ,,
Garudasana[58],गरुडासन,Eagle,"Standing, Balancing",,,19th C. ST[59][d],, ,,
Trivikramasana[139],त्रिविक्रमासन,"Trivikrama's pose
Standing splits

Supta Trivikramasana (reclining variant)","Standing, Balancing",,,"13th - 18th C. in Bharatnatyam dance statues of Eastern Gopuram, Nataraja Temple, Chidambaram[140]",, ,,
Vrikshasana[171],वृक्षासन,Tree,"Standing, Balancing",,,17th C. GhS[45],, ,,
